Intervalo Educacional;Países;Salário;Índice Criminal
8.288821;;;28.95
9.45;;;28.81
9.193137;;;28.25
9.153257;;;28.2
8.023244;;;27.75
8.55;;;27.68
8.71593;;;27.38
8.9080925;;;27.3
5.7517395;;;27.27
6.23;;;27.22
6.0500154;;;27.2
6.3176813;;;27.05
4.39;;;27.03
4.318279;;;26.86
4.471788;;;26.85
6.7;;;26.81
6.673929;;;26.67
6.787967;;;26.62
5.4058714;;;26.61
5.82;;;26.51
6.134818;;;26.49
6.106065;;;26.31
6.5116167;;;26.28
6.89;;;26.26
7.1095786;;;26.17
7.226661;;;26.08
11.739408;;;25.74
11.71;;;25.54
11.760834;;;25.53
11.539022;;;25.38
11.5202;;;25.16
11.25;;;25.15
11.333543;;;25.07
11.390235;;;24.96
7.26;;;24.92
6.747723;;;24.32
6.747723;;;24.16
2.61;;;24.1
2.69209;;;24.06
2.682462;;;23.91
4.25;;;23.79
5.0383425;;;23.59
5.0383425;;;23.43
9.877383;;;23.32
9.7428;;;23.02
7.052856;;;22.97
6.82;;;22.51
6.816772;;;22.31
7.296405;;;22.26
11.301275;;;22.16
11.24;;;21.86
11.209513;;;21.66
11.233873;;;21.62
9.918344;;;21.48
9.761175;;;21.36
7.4834166;;;21.06
8.9;;;20.9
8.733114;;;20.8
8.644991;;;20.7
4.78;;;20.6
5.0658207;;;20.54
5.079235;;;20.12
8.249453;;;19.82
8.692236;;;19.48
7.5;;;19.41
7.88784;;;18.86
8.047291;;;18.66
6.9109573;;;17.94
7.19;;;17.26
6.811759;;;16.3
6.4808674;;;15.69
4.71;;;15.64
5.9078517;;;15.14
5.9989457;;;15.05
6.9451528;;;14.86
7.1;;;13.96
6.976486;;;11.67
6.976486;;;
7.7179785;;;
8.28;;;
8.447705;;;
8.632247;;;
8.37;;;
8.34696;;;
7.492334;;;
10.688769;;;
11.34;;;
11.517844;;;
11.374183;;;
11.013366;;;
11.46;;;
11.563686;;;
11.310053;;;
7.963889;;;
8.5;;;
8.734696;;;
8.77822;;;
8.935521;;;
8.81;;;
8.613272;;;
8.369189;;;
9.808328;;;
11.9;;;
11.776281;;;
10.898087;;;
3.75;;;
3.8871112;;;
3.9257712;;;
8.18676;;;
8.477751;;;
8.201881;;;
8.4803295;;;
7.798963;;;
7.71073;;;
6.6519566;;;
7.2451687;;;
7.4291887;;;
8.1;;;
8.0062895;;;
7.8881774;;;
4.5150957;;;
4.78;;;
4.8641224;;;
4.838319;;;
9.430452;;;
11.15;;;
11.210345;;;
9.752607;;;
8.550605;;;
10.14;;;
9.674071;;;
9.700825;;;
4.52;;;
4.6573877;;;
4.8547077;;;
12.450817;;;
12.9;;;
12.937873;;;
12.81329;;;
10.243245;;;
10.38;;;
10.101996;;;
9.799783;;;
11.185949;;;
11.61;;;
11.61505;;;
11.370939;;;
5.34;;;
5.015643;;;
4.675106;;;
6.2357073;;;
5.11;;;
5.570013;;;
5.603404;;;
7.8458357;;;
8.0794735;;;
8.169077;;;
8.199132;;;
12.246545;;;
12.24;;;
12.247689;;;
11.684028;;;
2.28;;;
2.5113463;;;
2.5113463;;;
10.266474;;;
10.78;;;
10.662965;;;
10.514696;;;
8.3;;;
8.374124;;;
8.462184;;;
4.42;;;
4.299639;;;
4.301438;;;
11.119785;;;
11.67;;;
11.709058;;;
11.580874;;;
11.223486;;;
11.13;;;
11.112429;;;
10.933773;;;
7.67;;;
7.721502;;;
6.785475;;;
4.82;;;
4.474151;;;
4.4849176;;;
8.45008;;;
8.64;;;
8.855771;;;
8.68309;;;
4.5438156;;;
5.57;;;
5.709833;;;
5.9727387;;;
6.55;;;
6.845385;;;
7.1402106;;;
8.134325;;;
9.13;;;
9.115808;;;
9.115808;;;
6.803711;;;
6.27;;;
6.368259;;;
6.494052;;;
9.119613;;;
8.9;;;
8.864876;;;
9.227495;;;
7.36;;;
5.8087997;;;
5.9977837;;;
3.9197464;;;
4.45;;;
4.3321576;;;
4.335872;;;
10.271507;;;
10.2;;;
10.121033;;;
9.874516;;;
8.794636;;;
9.49;;;
9.717064;;;
9.645997;;;
11.32212;;;
11.48;;;
11.457277;;;
11.538006;;;
10.35244;;;
11.14;;;
10.779745;;;
10.55677;;;
8.286774;;;
9.186381;;;
8.931116;;;
8.91147;;;
8.48609;;;
8.38;;;
8.650635;;;
8.551203;;;
9.133364;;;
6.06;;;
5.37012;;;
5.6242585;;;
10.082015;;;
10.21;;;
10.643042;;;
10.680542;;;
4.13;;;
4.1787615;;;
4.1787615;;;
5.25;;;
5.022243;;;
5.036293;;;
6.8357744;;;
6.35;;;
7.0066104;;;
7.0066104;;;
